Description,Last seen,Usage,"Device type, OS",IPv4 address,Policy
"b8:27:eb:98:2e:11","Jan 14 14:37","744 KB","Other","192.168.140.20","normal"
"40:f2:e9:af:f6:35","Jan 14 14:27","678 KB","Other","192.168.110.21","normal"
"iPhone-DNPZW13HN73L","Jan 14 11:46","611 KB","iPhone 11, iOS15.1","10.222.21.89","normal"
"Clauss-iPad-2","Jan 14 14:37","605 KB","Other","10.54.223.73","normal"
"40:f2:e9:af:2c:3d","Jan 14 14:32","584 KB","Other","192.168.110.23","normal"
"KPC1443-2","Jan 14 07:51","540 KB","Windows 10","192.168.140.110","custom"
"KPC1480","Jan 14 13:44","486 KB","Windows 10","192.168.140.107","custom"
"98:be:94:0f:8c:b5","Jan 14 14:36","451 KB","Other","192.168.110.12","normal"
"98:be:94:0f:8c:b4","Jan 14 14:38","448 KB","Other","192.168.110.11","normal"
"98:be:94:f7:a9:0d","Jan 14 14:33","394 KB","Other","192.168.110.22","normal"
"KPC1563","Jan 14 13:38","320 KB","Windows 10","192.168.140.116","custom"
"22:10:36:9d:66:28","Jan 14 08:39","307 KB","Apple iPhone","10.19.97.30","normal"
"be:41:59:e5:26:a4","Jan 14 11:28","257 KB","Apple iPhone","10.201.31.110","normal"
"22:97:69:98:0e:4d","Jan 13 16:39","167 KB","Apple iPhone","10.124.61.126","normal"
"d6:0b:50:3e:56:dc","Jan 13 15:14","20 KB","Other","10.163.45.157","normal"
"02:90:9e:2f:40:6a","Jan 13 20:06","18 KB","Other","10.41.141.26","normal"
"KPC1528","Jan 14 08:05","1 KB","Other","192.168.140.194","normal"
